dur,proto,saddr,sport,dir,daddr,dport,state,s_tos,d_tos,tot_pkts,tot_bytes,src_bytes,is_malicious
0.0001,tcp,192.168.1.102,49152,->,10.0.0.1,80,FIN,0,0,2,120,60,0
1.2503,udp,192.168.1.105,53210,<->,8.8.8.8,53,CON,0,0,4,320,160,0
0.0450,tcp,192.168.1.110,61200,->,10.0.0.5,443,CON,0,0,15,4820,1200,0
12.431,tcp,192.168.1.150,44321,<->,198.51.100.22,8080,INT,0,0,350,245000,120000,1
0.0003,tcp,192.168.1.150,44322,->,198.51.100.22,445,INT,0,0,1,64,64,1
0.5210,tcp,192.168.1.102,49153,->,10.0.0.1,80,CON,0,0,10,1400,700,0
0.0012,icmp,192.168.1.101,0,->,10.0.0.1,0,INT,0,0,1,84,84,0
4.3210,tcp,192.168.1.150,44323,<->,198.51.100.22,6667,CON,0,0,80,51200,25600,1
0.0120,udp,192.168.1.108,58210,<->,1.1.1.1,53,CON,0,0,2,180,90,0
2.1100,tcp,192.168.1.104,49160,<->,10.0.0.8,443,CON,0,0,25,18200,4200,0
