StartTime,saddr,sport,dir,daddr,dport,proto,state,dur,tot_pkts,tot_bytes,src_bytes,flags,Label,is_malicious
1628596867.4172213,192.168.1.105,50012,->,10.0.0.8,80,tcp,CON,0.3051443738192723,10,730,287,SA,Normal,0
1628596860.06755,192.168.1.105,60263,->,10.0.0.8,53,udp,CON,1.761778737579156,9,2833,1415,SA,Normal,0
1628596978.5980806,192.168.1.105,50336,->,10.0.0.6,80,tcp,CON,0.18211149627697076,14,2958,899,SA,Normal,0
1628596865.9451318,192.168.1.105,49341,->,10.0.0.3,53,tcp,CON,0.324394550270428,8,1046,220,SA,Normal,0
1628596881.0898654,192.168.1.105,54545,->,10.0.0.4,80,tcp,CON,0.8361657864064383,12,1763,291,SA,Normal,0
1628596879.227449,192.168.1.105,58822,->,10.0.0.8,53,udp,CON,0.2580182680246819,5,1421,765,SA,Normal,0
1628596898.4078503,192.168.1.105,57141,->,10.0.0.2,443,tcp,CON,0.26138758787936955,7,2717,1015,SA,Normal,0
1628596858.7773383,192.168.1.105,56781,->,10.0.0.7,80,tcp,CON,0.9406636237223086,5,1278,1276,SA,Normal,0
1628596905.6152098,192.168.1.105,63704,->,10.0.0.9,80,tcp,CON,0.04873793440565451,10,2968,1352,SA,Normal,0
1628596835.7688227,192.168.1.105,58839,->,10.0.0.3,80,tcp,CON,0.7907420025607201,14,2196,430,SA,Normal,0
1628596917.1938646,192.168.1.105,52251,->,10.0.0.7,80,tcp,CON,0.2109094006256505,10,2854,1004,SA,Normal,0
1628596931.329112,192.168.1.105,63335,->,10.0.0.6,53,tcp,CON,0.2513838723412556,6,1428,1441,SA,Normal,0
1628596842.4772856,192.168.1.105,61837,->,10.0.0.7,53,tcp,CON,0.2889070969542137,13,1884,1063,SA,Normal,0
1628596914.553874,192.168.1.105,57907,->,10.0.0.4,443,udp,CON,0.47369780581949067,14,940,1259,SA,Normal,0
1628596969.7136426,192.168.1.105,65350,->,10.0.0.3,443,tcp,CON,0.4995540982847421,12,1195,1251,SA,Normal,0
1628596839.3192787,192.168.1.105,58707,->,10.0.0.7,80,tcp,CON,0.06829608006192542,12,1706,832,SA,Normal,0
1628596947.242658,192.168.1.105,55016,->,10.0.0.3,53,udp,CON,0.3918807751704673,8,1657,883,SA,Normal,0
1628596843.942594,192.168.1.105,57146,->,10.0.0.6,80,tcp,CON,0.04354675629989471,13,963,1491,SA,Normal,0
1628596845.3208132,192.168.1.105,60801,->,10.0.0.3,80,udp,CON,3.0563025560792236,14,2560,201,SA,Normal,0
1628596890.4822242,192.168.1.105,63029,->,10.0.0.7,80,tcp,CON,0.5130411824180888,5,1476,929,SA,Normal,0
1628596977.4170818,192.168.1.105,54687,->,10.0.0.7,53,tcp,CON,0.1456665861679029,9,2727,1083,SA,Normal,0
1628596977.0161653,192.168.1.105,56277,->,10.0.0.1,80,tcp,CON,0.11321605330377826,6,1059,963,SA,Normal,0
1628596921.961585,192.168.1.105,55698,->,10.0.0.3,53,udp,CON,0.528062170773846,7,888,1128,SA,Normal,0
1628596871.5629637,192.168.1.105,55846,->,10.0.0.2,80,tcp,CON,0.674420665018946,5,2598,462,SA,Normal,0
1628596918.7971282,192.168.1.105,63833,->,10.0.0.9,80,udp,CON,0.058863070237470366,8,1583,1214,SA,Normal,0
1628596861.0253625,192.168.1.105,52322,->,10.0.0.3,53,tcp,CON,0.2691837689201319,4,1027,786,SA,Normal,0
1628596968.414299,192.168.1.105,54691,->,10.0.0.6,443,udp,CON,0.06349845071797466,6,2600,1113,SA,Normal,0
1628596828.9454494,192.168.1.105,53585,->,10.0.0.2,443,tcp,CON,2.6076514352957036,7,560,1000,SA,Normal,0
1628596888.9008687,192.168.1.105,54063,->,10.0.0.4,53,tcp,CON,0.19412858836056646,14,869,1245,SA,Normal,0
1628596843.918136,192.168.1.105,63525,->,10.0.0.6,80,tcp,CON,1.19275599125286,14,625,997,SA,Normal,0
1628596916.1186051,192.168.1.105,56174,->,10.0.0.1,80,udp,CON,0.35576762010182605,7,946,1415,SA,Normal,0
1628596916.1850133,192.168.1.105,57360,->,10.0.0.5,443,tcp,CON,0.01778865768597219,11,2944,501,SA,Normal,0
1628596973.9978673,192.168.1.105,52322,->,10.0.0.1,53,tcp,CON,0.11592319705707059,4,527,217,SA,Normal,0
1628596900.2242272,192.168.1.105,55006,->,10.0.0.6,443,tcp,CON,0.046509122748990245,5,2086,1161,SA,Normal,0
1628596845.749457,192.168.1.105,59881,->,10.0.0.2,443,tcp,CON,0.6070372126508365,14,645,1399,SA,Normal,0
1628596899.5075958,192.168.1.105,54953,->,10.0.0.7,443,tcp,CON,1.0189750236839574,13,435,884,SA,Normal,0
1628596834.9693117,192.168.1.105,61191,->,10.0.0.3,53,udp,CON,0.44240079174885055,10,2382,1053,SA,Normal,0
1628596859.06748,192.168.1.105,52921,->,10.0.0.6,443,tcp,CON,0.15400863799034623,13,1237,1277,SA,Normal,0
1628596896.6748369,192.168.1.105,60004,->,10.0.0.1,80,udp,CON,1.6898141907371451,10,1619,973,SA,Normal,0
1628596809.3027098,192.168.1.105,56179,->,10.0.0.3,53,udp,CON,0.08121135733584296,5,1035,1329,SA,Normal,0
1628596858.1321652,192.168.1.105,53904,->,10.0.0.8,53,tcp,CON,0.6913722112964472,13,1140,316,SA,Normal,0
1628596814.557134,192.168.1.105,50302,->,10.0.0.9,80,udp,CON,1.2438108158381944,5,1519,1341,SA,Normal,0
1628596928.6272662,192.168.1.105,61927,->,10.0.0.5,80,tcp,CON,0.6795087024376132,8,2694,1299,SA,Normal,0
1628596901.886698,192.168.1.105,52658,->,10.0.0.5,443,udp,CON,0.07169019611998802,8,1408,293,SA,Normal,0
1628596953.9829051,192.168.1.105,60403,->,10.0.0.5,443,tcp,CON,0.8323071477952025,7,1712,1477,SA,Normal,0
1628596878.0932968,192.168.1.105,59414,->,10.0.0.6,80,tcp,CON,0.16115671081484798,13,2889,968,SA,Normal,0
1628596897.0879407,192.168.1.105,65516,->,10.0.0.4,53,tcp,CON,1.0194515057563693,14,1251,889,SA,Normal,0
1628596903.2060676,192.168.1.105,58912,->,10.0.0.1,80,tcp,CON,1.4290635731164996,6,1840,1391,SA,Normal,0
1628596962.9631155,192.168.1.105,56875,->,10.0.0.2,80,udp,CON,0.5844374362885836,4,489,975,SA,Normal,0
1628596869.3713918,192.168.1.105,64457,->,10.0.0.2,53,udp,CON,0.07287505991455381,8,2049,1298,SA,Normal,0
1628596957.9449625,192.168.1.105,56739,->,10.0.0.9,80,tcp,CON,0.40700544794061133,8,2904,1119,SA,Normal,0
1628596945.230253,192.168.1.105,65200,->,10.0.0.3,443,udp,CON,0.44439833738711054,10,436,478,SA,Normal,0
1628596935.8177173,192.168.1.105,54120,->,10.0.0.1,80,tcp,CON,0.885666278761665,9,796,898,SA,Normal,0
1628596817.9972796,192.168.1.105,63075,->,10.0.0.9,53,udp,CON,0.20232681669251945,7,1250,343,SA,Normal,0
1628596880.7201939,192.168.1.105,56418,->,10.0.0.9,53,udp,CON,1.4711901917662944,12,1462,308,SA,Normal,0
1628596967.567239,192.168.1.105,54457,->,10.0.0.7,443,tcp,CON,0.3012776374936418,10,1132,434,SA,Normal,0
1628596927.0496671,192.168.1.105,53998,->,10.0.0.9,443,tcp,CON,1.0182097297931425,9,1942,1397,SA,Normal,0
1628596926.1744437,192.168.1.105,55465,->,10.0.0.9,443,tcp,CON,0.0892662791115682,8,1845,538,SA,Normal,0
1628596904.6349752,192.168.1.105,58732,->,10.0.0.1,443,tcp,CON,1.4810822689816219,12,1724,1355,SA,Normal,0
1628596863.0392845,192.168.1.105,56571,->,10.0.0.3,80,tcp,CON,0.6205329721046149,13,2281,238,SA,Normal,0
1628596878.201332,192.168.1.105,53420,->,10.0.0.2,443,udp,CON,0.0732454979655856,12,2358,1224,SA,Normal,0
1628596922.587097,192.168.1.105,63835,->,10.0.0.9,53,tcp,CON,0.05326464934585315,4,1333,1340,SA,Normal,0
1628596973.380057,192.168.1.105,52779,->,10.0.0.5,443,tcp,CON,1.267367864697706,7,1650,246,SA,Normal,0
1628596913.291755,192.168.1.105,54797,->,10.0.0.1,80,tcp,CON,0.25241800873997633,10,1435,935,SA,Normal,0
1628596810.4155016,192.168.1.105,57701,->,10.0.0.8,80,udp,CON,0.11420208071803224,13,939,931,SA,Normal,0
1628596864.862117,192.168.1.105,53987,->,10.0.0.6,53,tcp,CON,0.19518965077718,7,2908,931,SA,Normal,0
1628596848.7723756,192.168.1.105,60300,->,10.0.0.3,80,tcp,CON,0.27947458613075915,8,2238,649,SA,Normal,0
1628596814.8947155,192.168.1.105,58141,->,10.0.0.2,53,udp,CON,0.02336040843325568,4,773,1288,SA,Normal,0
1628596886.4666147,192.168.1.105,62702,->,10.0.0.1,53,tcp,CON,0.24973684987904807,9,1088,304,SA,Normal,0
1628596874.6675105,192.168.1.105,49536,->,10.0.0.5,53,tcp,CON,0.8480587196249615,8,2293,970,SA,Normal,0
1628596899.977707,192.168.1.105,56292,->,10.0.0.5,80,tcp,CON,0.2472874703140095,8,2904,200,SA,Normal,0
1628596971.7291849,192.168.1.105,49868,->,10.0.0.4,443,tcp,CON,0.7173451321701324,5,2542,1295,SA,Normal,0
1628596803.9932535,192.168.1.105,49401,->,10.0.0.2,443,tcp,CON,0.37715493021175756,4,1477,435,SA,Normal,0
